time	cell_name	X	Y	Z
1	P1	180	328	15
1	AB	154	339	16
2	P1	180	339	15
2	AB	139	350	15
3	P1	182	336	15
3	AB	136	349	15
4	P1	192	336	14
4	AB	132	349	15
5	P1	199	329	14
5	AB	123	352	15
6	P1	205	324	15
6	AB	117	354	15
7	P1	215	321	16
7	AB	114	360	14
8	P1	222	318	17
8	AB	104	360	15
9	P1	220	325	16
9	AB	101	358	15
10	P1	206	325	17
10	AB	103	361	14
11	P1	206	330	17
11	AB	103	356	15
12	P1	203	331	17
12	AB	105	362	14
13	P1	189	309	15
13	ABa	95	363	14
13	ABp	122	381	14
14	P1	188	319	14
14	ABa	90	359	15
14	ABp	122	382	16
15	P2	210	318	15
15	EMS	175	314	14
15	ABa	87	357	14
15	ABp	132	373	13
16	P2	212	317	15
16	EMS	169	310	15
16	ABa	82	356	13
16	ABp	136	374	12
17	P2	219	319	15
17	EMS	164	313	15
17	ABa	76	359	13
17	ABp	141	382	13
18	P2	233	317	14
18	EMS	162	312	14
18	ABa	66	355	14
18	ABp	143	397	15
19	P2	236	316	15
19	EMS	156	309	14
19	ABa	64	355	16
19	ABp	156	400	16
20	P2	236	318	15
20	EMS	153	304	14
20	ABa	72	358	14
20	ABp	162	389	15
21	P2	238	329	16
21	EMS	149	294	14
21	ABa	70	363	15
21	ABp	159	387	14
22	P2	235	336	15
22	EMS	144	290	15
22	ABa	72	368	16
22	ABp	158	382	15
23	P2	235	338	15
23	EMS	139	289	15
23	ABa	73	368	16
23	ABp	158	373	14
24	P2	232	341	16
24	EMS	150	290	14
24	ABa	78	365	15
24	ABp	158	375	15
25	P2	225	323	16
25	EMS	143	300	11
25	ABal	64	362	17
25	ABar	82	390	13
25	ABpr	175	382	13
25	ABpl	160	370	20
26	P2	217	312	17
26	EMS	150	304	13
26	ABal	62	354	15
26	ABar	82	388	12
26	ABpr	184	383	12
26	ABpl	161	383	18
27	P2	215	310	17
27	EMS	145	305	13
27	ABal	62	352	15
27	ABar	83	389	11
27	ABpr	187	381	12
27	ABpl	157	379	20
28	P2	219	318	16
28	E	166	300	14
28	MS	137	309	12
28	ABal	54	353	16
28	ABar	84	398	10
28	ABpr	181	383	10
28	ABpl	152	379	21
29	P2	217	321	16
29	E	171	300	14
29	MS	133	302	11
29	ABal	47	359	18
29	ABar	92	404	10
29	ABpr	178	385	9
29	ABpl	144	377	22
30	C	222	332	16
30	P3	217	313	15
30	E	169	298	14
30	MS	120	305	11
30	ABal	48	366	18
30	ABar	99	408	11
30	ABpr	175	381	9
30	ABpl	148	367	21
31	C	217	339	17
31	P3	212	303	14
31	E	173	304	15
31	MS	112	307	9
31	ABal	45	356	19
31	ABar	99	411	11
31	ABpr	176	378	8
31	ABpl	143	360	21
32	C	217	341	18
32	P3	217	300	13
32	E	183	303	13
32	MS	108	315	8
32	ABal	44	351	17
32	ABar	104	413	13
32	ABpr	181	377	8
32	ABpl	129	339	21
33	P3	218	301	12
33	E	187	301	12
33	MS	107	320	8
33	ABal	43	354	16
33	ABar	110	412	14
33	ABpr	182	378	9
33	ABpl	126	332	21
33	C	217	339	19
34	P3	224	295	12
34	E	185	301	12
34	MS	113	322	8
34	ABal	44	351	15
34	ABar	111	411	15
34	ABpr	185	379	9
34	ABpl	122	319	19
34	C	216	337	20
35	P3	229	298	12
35	E	187	301	12
35	MS	116	323	8
35	ABal	49	347	14
35	ABar	112	405	16
35	ABpr	185	380	9
35	ABpl	117	319	19
35	C	215	334	21
36	P3	230	299	13
36	E	186	297	13
36	MS	116	321	8
36	ABal	53	355	13
36	ABar	120	403	17
36	ABpr	185	374	12
36	ABpl	112	318	18
36	C	205	330	22
37	P3	232	299	14
37	E	188	291	14
37	MS	115	320	8
37	ABala	54	373	17
37	ABalp	54	348	12
37	ABar	128	401	17
37	ABprp	184	354	9
37	ABpra	182	384	11
37	ABplp	120	310	17
37	C	208	346	22
37	ABpla	109	338	20
